id,name,city,website
"90283fea-f92c-4238-af2e-d679921a3ecd","Lammgårds Spa & Massage","Örebro","http://www.lammgardsspaochmassage.se/"
"82422092-3229-423a-8fe0-9dd2594dbb52","Beauty Center by Aveen","Örebro",""
"1fd30761-28c4-4377-b962-718bc3f9c0c3","Lifetime Clinic","Västerås","http://www.lifetimeclinic.se/"
"99ed05a3-b2eb-4e30-9659-792e1bc916ab","The Clinic AB","Västerås","https://theclinicvasteras.se/"
"8cda26bc-8edc-4561-ae3e-09aa40135038","Clinic Envie","Göteborg","http://www.clinicenvie.com/"
"c24e391e-740d-4358-999b-8b9173efb490","Adel Estetik","Stockholm","http://adelestetik.se/"
"0156a287-e9bb-47c2-bea6-aa8d934d98ed","Myestethic","Västerås","https://www.instagram.com/myestethic/"
"043654e2-31f5-4696-aae5-f6aed97a6848","Nina Beauty Klinik","Västerås","https://www.skonhetsklinikvasteras.se/"
"b6de39be-cfe1-4e3f-b7da-2e9538ef07e6","Fillersbyme","Västerås","http://www.fillersbyme.se/"
"e9d06cf9-0ce6-446b-a350-23852f3a1281","Göteborg Estetik","Västra Frölunda","http://www.gbgestetik.se/"
"5a106a9e-6403-4ba2-bbd2-97559a6586e0","MyBeauty Clinic","Göteborg","https://www.mybeautyclinic.se/"
"e497073c-3ca3-4b37-87bb-5095fc1019d0","Laser & Estetik -Laser hårborttagning, Hand / fotvårtor , Xantelasma , Kemiska pilingar , Tandblekning, ,Lpg , Epilering.","Västerås","https://www.laserestetik.nu/"
"95ba88f8-7765-4512-9339-f00142a960ee","Flawless Västerås","Västerås","https://instagram.com/flawlessvasteras?igshid=OGQ5ZDc2ODk2ZA=="
"c47c0601-7364-4920-8720-4ee001b3893d","Beautify You Clinic","Linköping","https://naviswbusiness.org/details/beautify-you-clinic-ChIJExz"
"3c90b985-7ab4-4385-b6d8-669a3e0ce30c","Lay Beauty Center","Västerås",""
"f4ea1a90-13ac-42e7-ba9c-d5d9ae33bc37","Sensakliniken","Helsingborg","http://www.sensakliniken.se/"
"d699987d-ac7a-4dd1-8344-cd3c6a03cb19","Studio Michélle - Laser hårborttagning i Stockholm","Stockholm","https://www.laserhårborttagning.nu/"
"6e387902-0821-4ad7-8d07-c5c66fafd709","Dr Esterblom Aesthetic Medicine","Västerås","https://www.vastermalmsprivatklinik.se/"
"2bc333db-391c-4d29-af98-68609bb1177a","Yas Skin House","Västerås","http://www.yasskinhouse.se/"
"103507f0-d5fd-443d-8148-50ef5a64f1c4","Aros Citylaser AB","Västerås","http://aroscitylaser.se/"
"eac5a659-2c28-4406-9ca8-fcba8a09b9d5","Marias Beauty Center","Västerås","http://www.mariasbeautycenter.se/"
"6f195655-802c-4746-a962-0f0fe9a45516","Lux Treatments Västerås","Västerås","https://www.luxtreatments.se/"
"1865a96a-b856-4afa-907d-1682e9a38dc8","Pearl Beauty Center AB","Västerås",""
"c3dc296f-5675-40ad-bd14-c5dc5101c6d3","Västerås Beauty and Wellness AB","Västerås","http://www.vasterasbeautyandwellness.se/"
"5bb1513b-e0d7-42f2-8c02-df8335de4f56","Klinik Esthetique by DOCTOROLS","Västerås","https://www.instagram.com/klinikesthetique"
"075f7ead-3915-45fa-99c0-07b895842d09","Balansportalen AB","Västerås","http://www.balansportalen.se/"
